timestamp,phase,ping_status,response_time_ms,ipv6_addresses,attack_packets
1753862016.204,IDLE,OK,10,0,0
1753862016.396,IDLE,OK,10,0,0
1753862016.585,IDLE,OK,9,0,0
1753862016.773,IDLE,OK,9,0,0
1753862016.965,IDLE,OK,10,0,0
1753862017.155,IDLE,OK,9,0,0
1753862017.342,IDLE,OK,10,0,0
1753862017.529,IDLE,OK,9,0,0
1753862017.712,IDLE,OK,9,0,0
1753862017.895,IDLE,OK,9,0,0
1753862018.078,IDLE,OK,9,0,0
1753862018.261,IDLE,OK,9,0,0
1753862018.445,IDLE,OK,9,0,0
1753862018.628,IDLE,OK,9,0,0
1753862018.811,IDLE,OK,9,0,0
1753862018.998,IDLE,OK,9,0,0
1753862019.181,IDLE,OK,9,0,0
1753862019.364,IDLE,OK,8,0,0
1753862019.548,IDLE,OK,9,0,0
1753862019.730,IDLE,OK,9,0,0
1753862019.913,IDLE,OK,9,0,0
1753862020.098,IDLE,OK,9,0,0
1753862020.281,IDLE,OK,10,0,0
1753862020.466,IDLE,OK,9,0,0
1753862020.648,IDLE,OK,9,0,0
1753862020.831,IDLE,OK,9,0,0
1753862021.013,IDLE,OK,8,0,0
1753862021.196,IDLE,OK,9,0,0
1753862021.378,IDLE,OK,10,0,0
1753862021.562,ATTACKING,OK,10,0,1
1753862021.747,ATTACKING,OK,9,0,2
1753862021.928,ATTACKING,OK,10,0,3
1753862022.112,ATTACKING,OK,9,0,4
1753862022.295,ATTACKING,OK,9,0,5
1753862022.527,ATTACKING,OK,9,0,6
1753862022.712,ATTACKING,OK,9,0,7
1753862022.890,ATTACKING,OK,8,0,8
1753862023.070,ATTACKING,OK,9,0,9
1753862023.248,ATTACKING,OK,8,0,10
1753862023.427,ATTACKING,OK,9,0,11
1753862023.605,ATTACKING,OK,9,0,12
1753862023.784,ATTACKING,OK,9,1,13
1753862023.963,ATTACKING,OK,8,4,14
1753862024.143,IDLE,OK,9,9,14
1753862024.325,IDLE,OK,8,11,14
1753862024.504,IDLE,OK,10,13,14
1753862024.686,IDLE,OK,9,14,14
1753862024.868,IDLE,OK,9,14,14
1753862025.052,IDLE,OK,9,14,14
1753862025.234,IDLE,OK,9,14,14
1753862025.417,IDLE,OK,9,14,14
1753862025.600,IDLE,OK,9,14,14
1753862025.783,IDLE,OK,9,14,14
1753862025.966,IDLE,OK,9,14,14
1753862026.147,IDLE,OK,9,14,14
1753862026.331,IDLE,OK,9,14,14
1753862026.514,IDLE,OK,9,14,14
1753862026.694,IDLE,OK,10,14,14
1753862026.878,IDLE,OK,9,14,14
1753862027.062,IDLE,OK,9,14,14
1753862027.246,IDLE,OK,9,14,14
1753862027.433,IDLE,OK,9,14,14
1753862027.615,IDLE,OK,10,14,14
1753862027.798,IDLE,OK,9,14,14
1753862027.984,IDLE,OK,9,14,14
1753862028.168,IDLE,OK,10,14,14
1753862028.353,IDLE,OK,10,14,14
1753862028.536,IDLE,OK,10,14,14
1753862028.719,IDLE,OK,9,14,14
1753862028.902,IDLE,OK,9,14,14
1753862029.086,IDLE,OK,9,14,14
1753862029.269,IDLE,OK,10,14,14
1753862029.454,IDLE,OK,9,14,14
1753862029.638,IDLE,OK,10,14,14
1753862029.822,IDLE,OK,8,14,14
1753862030.007,IDLE,OK,9,14,14
1753862030.190,IDLE,OK,9,14,14
1753862030.373,IDLE,OK,8,14,14
1753862030.557,IDLE,OK,10,14,14
1753862030.739,IDLE,OK,10,14,14
1753862030.923,IDLE,OK,10,14,14
1753862031.107,IDLE,OK,9,14,14
1753862031.289,IDLE,OK,9,14,14
1753862031.471,IDLE,OK,9,14,14
1753862031.651,IDLE,OK,9,14,14
1753862031.836,IDLE,OK,9,14,14
1753862032.017,IDLE,OK,9,14,14
1753862032.200,IDLE,OK,8,14,14
